Periodo,Mes,Codigo_departamento,Departamento,Codigo_municipio,Municipio,Nombre_comercial,Bandera,Direccion,Producto,Precio,Estado,Dir2,Full_Address,Coords
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,PLAZA 63,TEXACO,AVENIDA CARRERA 24 No. 62-39,BIODIESEL EXTRA,9150,A,AVENIDA CARRERA 24 No. 62-39,"AVENIDA CARRERA 24 No. 62-39, Bogota  d.c., Colombia","(4.6299067, -74.0748627)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,PLAZA 63,TEXACO,AVENIDA CARRERA 24 No. 62-39,GASOLINA EXTRA OXIGENADA,15990,A,AVENIDA CARRERA 24 No. 62-39,"AVENIDA CARRERA 24 No. 62-39, Bogota  d.c., Colombia","(4.6299067, -74.0748627)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,PLAZA 63,TEXACO,AVENIDA CARRERA 24 No. 62-39,GASOLINA CORRIENTE OXIGENADA,9370,A,AVENIDA CARRERA 24 No. 62-39,"AVENIDA CARRERA 24 No. 62-39, Bogota  d.c., Colombia","(4.6299067, -74.0748627)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,PLAZA 63,TEXACO,AVENIDA CARRERA 24 No. 62-39,BIODIESEL EXTRA,9150,A,AVENIDA CARRERA 24 No. 62-39,"AVENIDA CARRERA 24 No. 62-39, Bogota  d.c., Colombia","(4.6299067, -74.0748627)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,PLAZA 63,TEXACO,AVENIDA CARRERA 24 No. 62-39,GASOLINA EXTRA OXIGENADA,16450,A,AVENIDA CARRERA 24 No. 62-39,"AVENIDA CARRERA 24 No. 62-39, Bogota  d.c., Colombia","(4.6299067, -74.0748627)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,PLAZA 63,TEXACO,AVENIDA CARRERA 24 No. 62-39,GASOLINA CORRIENTE OXIGENADA,9370,A,AVENIDA CARRERA 24 No. 62-39,"AVENIDA CARRERA 24 No. 62-39, Bogota  d.c., Colombia","(4.6299067, -74.0748627)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,MOBIL UNO,MOBIL,CALLE 142 No.  9-04,GASOLINA CORRIENTE OXIGENADA,9540,A,CALLE 142 No.  9-04,"CALLE 142 No.  9-04, Bogota  d.c., Colombia","(4.72015, -74.03277)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,MOBIL UNO,MOBIL,CALLE 142 No.  9-04,BIODIESEL EXTRA,10076,A,CALLE 142 No.  9-04,"CALLE 142 No.  9-04, Bogota  d.c., Colombia","(4.72015, -74.03277)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,MOBIL UNO,MOBIL,CALLE 142 No.  9-04,GASOLINA EXTRA OXIGENADA,17210,A,CALLE 142 No.  9-04,"CALLE 142 No.  9-04, Bogota  d.c., Colombia","(4.72015, -74.03277)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,DISTRIBUIDORA ESSO VERSALLES,MOBIL,CARRERA 107 No. 23-46,BIODIESEL EXTRA,9152,A,CARRERA 107 No. 23-46,"CARRERA 107 No. 23-46, Bogota  d.c., Colombia","(4.6835371, -74.1422435)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,DISTRIBUIDORA ESSO VERSALLES,MOBIL,CARRERA 107 No. 23-46,GASOLINA CORRIENTE OXIGENADA,9372,A,CARRERA 107 No. 23-46,"CARRERA 107 No. 23-46, Bogota  d.c., Colombia","(4.6835371, -74.1422435)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO TX 34,TEXACO,CALLE 26 No. 32-61,BIODIESEL EXTRA,9390,A,CALLE 26 No. 32-61,"CALLE 26 No. 32-61, Bogota  d.c., Colombia","(4.6286955, -74.0824938)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO TX 34,TEXACO,CALLE 26 No. 32-61,GASOLINA EXTRA OXIGENADA,16890,A,CALLE 26 No. 32-61,"CALLE 26 No. 32-61, Bogota  d.c., Colombia","(4.6286955, -74.0824938)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO TX 34,TEXACO,CALLE 26 No. 32-61,GASOLINA CORRIENTE OXIGENADA,9490,A,CALLE 26 No. 32-61,"CALLE 26 No. 32-61, Bogota  d.c., Colombia","(4.6286955, -74.0824938)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO CAMPOALEGRE,TEXACO,AVENIDA CIUDAD DE CALI No. 6-93,GASOLINA CORRIENTE OXIGENADA,9372,A,AVENIDA CIUDAD DE CALI No. 6-93,"AVENIDA CIUDAD DE CALI No. 6-93, Bogota  d.c., Colombia","(4.6418505, -74.1550938)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO CAMPOALEGRE,TEXACO,AVENIDA CIUDAD DE CALI No. 6-93,BIODIESEL EXTRA,9152,A,AVENIDA CIUDAD DE CALI No. 6-93,"AVENIDA CIUDAD DE CALI No. 6-93, Bogota  d.c., Colombia","(4.6418505, -74.1550938)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,SERVICENTRO TERCER PUENTE,MOBIL,Avenida Carrera 45 No.183 A-32,GASOLINA EXTRA OXIGENADA,16990,A,Avenida Carrera 45 No.183 A-32,"Avenida Carrera 45 No.183 A-32, Bogota  d.c., Colombia","(4.7502292, -74.0472778)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,SERVICENTRO TERCER PUENTE,MOBIL,Avenida Carrera 45 No.183 A-32,BIODIESEL EXTRA,8990,A,Avenida Carrera 45 No.183 A-32,"Avenida Carrera 45 No.183 A-32, Bogota  d.c., Colombia","(4.7502292, -74.0472778)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,SERVICENTRO TERCER PUENTE,MOBIL,Avenida Carrera 45 No.183 A-32,GASOLINA CORRIENTE OXIGENADA,9370,A,Avenida Carrera 45 No.183 A-32,"Avenida Carrera 45 No.183 A-32, Bogota  d.c., Colombia","(4.7502292, -74.0472778)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO EL DARIEN,TEXACO,CARRERA 69B No. 26-35 SUR,GASOLINA CORRIENTE OXIGENADA,9350,A,CARRERA 69B No. 26-35 SUR,"CARRERA 69B No. 26-35 SUR, Bogota  d.c., Colombia","(4.6141019, -74.1358553)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO EL DARIEN,TEXACO,CARRERA 69B No. 26-35 SUR,BIODIESEL EXTRA,9445,A,CARRERA 69B No. 26-35 SUR,"CARRERA 69B No. 26-35 SUR, Bogota  d.c., Colombia","(4.6141019, -74.1358553)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIOS TEXACO No. 35,TEXACO,CALLE 17 No. 96B-46,BIODIESEL EXTRA,9050,A,CALLE 17 No. 96B-46,"CALLE 17 No. 96B-46, Bogota  d.c., Colombia","(4.7436153, -74.0403013)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIOS TEXACO No. 35,TEXACO,CALLE 17 No. 96B-46,GASOLINA CORRIENTE OXIGENADA,9250,A,CALLE 17 No. 96B-46,"CALLE 17 No. 96B-46, Bogota  d.c., Colombia","(4.7436153, -74.0403013)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,COMBUSTIBLES Y SERVICIOS TIMIZA,MOBIL,Carrera 73 # 36A - 55 Sur,GASOLINA CORRIENTE OXIGENADA,9176,A,Carrera 73 No 36A - 55 Sur,"Carrera 73 # 36A - 55 Sur, Bogota  d.c., Colombia","('NA', 'NA')"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,COMBUSTIBLES Y SERVICIOS TIMIZA,MOBIL,Carrera 73 # 36A - 55 Sur,BIODIESEL EXTRA,8946,A,Carrera 73 No 36A - 55 Sur,"Carrera 73 # 36A - 55 Sur, Bogota  d.c., Colombia","('NA', 'NA')"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION LOS LAGARTOS,MOBIL,AVENIDA CARRERA 72 No.  95-31,BIODIESEL EXTRA,8840,A,AVENIDA CARRERA 72 No.  95-31,"AVENIDA CARRERA 72 No.  95-31, Bogota  d.c., Colombia","(4.6972437, -74.0846867)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION LOS LAGARTOS,MOBIL,AVENIDA CARRERA 72 No.  95-31,GASOLINA CORRIENTE OXIGENADA,9100,A,AVENIDA CARRERA 72 No.  95-31,"AVENIDA CARRERA 72 No.  95-31, Bogota  d.c., Colombia","(4.6972437, -74.0846867)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION LOS LAGARTOS,MOBIL,AVENIDA CARRERA 72 No.  95-31,GASOLINA EXTRA OXIGENADA,15990,A,AVENIDA CARRERA 72 No.  95-31,"AVENIDA CARRERA 72 No.  95-31, Bogota  d.c., Colombia","(4.6972437, -74.0846867)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO BIOMAX SANANDRESITO 38,BIOMAX,Calle 13 # 38 - 25,GASOLINA CORRIENTE OXIGENADA,9342,A,Calle 13 No 38 - 25,"Calle 13 # 38 - 25, Bogota  d.c., Colombia","('NA', 'NA')"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO BIOMAX SANANDRESITO 38,BIOMAX,Calle 13 # 38 - 25,BIODIESEL EXTRA,9107,A,Calle 13 No 38 - 25,"Calle 13 # 38 - 25, Bogota  d.c., Colombia","('NA', 'NA')"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO NAVARRO MOJICA Y CIA TEXACO 27,TEXACO,AVENIDA CARRERA 68 No. 67G-36,GASOLINA EXTRA OXIGENADA,16540,A,AVENIDA CARRERA 68 No. 67G-36,"AVENIDA CARRERA 68 No. 67G-36, Bogota  d.c., Colombia","(4.6769528, -74.085921)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO NAVARRO MOJICA Y CIA TEXACO 27,TEXACO,AVENIDA CARRERA 68 No. 67G-36,GASOLINA CORRIENTE OXIGENADA,9470,A,AVENIDA CARRERA 68 No. 67G-36,"AVENIDA CARRERA 68 No. 67G-36, Bogota  d.c., Colombia","(4.6769528, -74.085921)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO NAVARRO MOJICA Y CIA TEXACO 27,TEXACO,AVENIDA CARRERA 68 No. 67G-36,BIODIESEL EXTRA,9320,A,AVENIDA CARRERA 68 No. 67G-36,"AVENIDA CARRERA 68 No. 67G-36, Bogota  d.c., Colombia","(4.6769528, -74.085921)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS DISNAL ARGELIA,BIOMAX,CARRERA 72 F No. 39-07 SUR,BIODIESEL EXTRA,9000,A,CARRERA 72 F No. 39-07 SUR,"CARRERA 72 F No. 39-07 SUR, Bogota  d.c., Colombia","(4.607731, -74.1425659)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS DISNAL ARGELIA,BIOMAX,CARRERA 72 F No. 39-07 SUR,GASOLINA CORRIENTE OXIGENADA,9200,A,CARRERA 72 F No. 39-07 SUR,"CARRERA 72 F No. 39-07 SUR, Bogota  d.c., Colombia","(4.607731, -74.1425659)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS DISNAL ARGELIA,BIOMAX,CARRERA 72 F No. 39-07 SUR,GASOLINA CORRIENTE OXIGENADA,9200,A,CARRERA 72 F No. 39-07 SUR,"CARRERA 72 F No. 39-07 SUR, Bogota  d.c., Colombia","(4.607731, -74.1425659)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS DISNAL ARGELIA,BIOMAX,CARRERA 72 F No. 39-07 SUR,BIODIESEL EXTRA,9050,A,CARRERA 72 F No. 39-07 SUR,"CARRERA 72 F No. 39-07 SUR, Bogota  d.c., Colombia","(4.607731, -74.1425659)"
